name;slug;description
Человек и тело;body-parts;
Дом, постройки, предметы быта;house-buildings;
Животные;animals;
Природа, стихии, явления;nature-elements-phenomena;
Небо, время, свет, цвета;time-light-color;
Растения, еда, сельское хозяйство;plants-food-agriculture;
Инструменты, предметы, орудия;tools-objects-instruments;
Абстракции, действия, отношения;abstractions-actions-relationships;
Материалы, минералы, структуры;materials-minerals-structures;
Музыка, ощущения, свойства;music-feelings-properties;
Базовые графемы и формы;graphemes-forms;
Места, территория, пространство;places-territory-space;
Прочие категории и особые формы;other-categories;
Сочетания, редкие объекты, финалы списка;combinations-objects-finals;
